,,,JAÚ SERVE,TENDA ATACADO,,,
Lava Roupa Líquido,1L,Ares,-,,"R$14,49",-,-%
Lava Roupa Líquido Ola Coco 1L,1L,Ola,"R$14,90",https://tenda-api.stoomlab.com.br/api/public/store/product/lava-roupa-liquido-ola-coco-1l-11470,"R$23,39",,
Leite Condensado integral,395g,Mococa,-,,"R$3,49",-,-%
Leite Condensado semi desnatado,395g,Italac,"R$3,95",https://tenda-api.stoomlab.com.br/api/public/store/product/leite-condensado-semidesnatado-italac-395g-2059,"R$4,49","R$0,54","13,67%"
Leite de coco,200ml,Menina,-,https://tenda-api.stoomlab.com.br/api/public/store/product/leite-de-coco-menina-200ml-1144,"R$3,09",-,-%
,200ml,Sococo,"R$5,49",https://tenda-api.stoomlab.com.br/api/public/store/product/leite-de-coco-sococo-200ml-227,"R$5,19","-R$0,30","-5,46%"
Leite em pó desnatado,280g,Molico,"R$22,90",,"R$14,99","-R$7,91","-34,54%"
Leite Integral Zero Lactose,1L,Ninho,"R$6,19",https://tenda-api.stoomlab.com.br/api/public/store/product/leite-longa-vida-zero-lactose-ninho-1l-23532,"R$5,09","-R$1,10","-17,77%"
Leite Semi-Desnatado Zero Lactose,1L,Piracanjuba,"R$5,29",https://tenda-api.stoomlab.com.br/api/public/store/product/leite-semi-desnatado-piracanjuba-zero-lactose-1l-7642,"R$4,69","-R$0,60","-11,34%"
Leite Semi-Desnatado,1L,Ninho,"R$5,15",https://tenda-api.stoomlab.com.br/api/public/store/product/leite-longa-vida-semidesnatado-levinho-ninho-1l-20130,"R$4,99","-R$0,16","-3,11%"
Limpeza Perfume,2L,Casa&Perfume,-,https://tenda-api.stoomlab.com.br/api/public/store/product/limpador-perfumado-sensualidade-casa-e-perfume-2l-7162,"R$12,89",-,-%
Limpeza X14 2x1,500ml,Veja,"R$11,48",,"R$11,99","R$0,51","4,44%"
Macarrão Penne com ovos,500g,Barilla,"R$3,95",,"R$3,79","-R$0,16","-4,05%"
Macarrão Spaghettini tipo 3,500g,Barilla,"R$12,49",https://tenda-api.stoomlab.com.br/api/public/store/product/macarrao-grano-duro-barilla-spaghettini-3-500g-6353,"R$8,49","-R$4,00","-32,03%"
Maionese Pet,390g,Heinz,"R$9,98",https://tenda-api.stoomlab.com.br/api/public/store/product/maionese-heinz-pet-390g-8979,"R$12,29",,
Manteiga com sal pote,200g,Aviação,"R$11,95",https://tenda-api.stoomlab.com.br/api/public/store/product/manteiga-aviacao-pote-com-sal-200g-1030,"R$10,09","-R$1,86","-15,56%"
Manteiga Zero Lactose com sal,200g,Piracanjuba,"R$12,45",https://tenda-api.stoomlab.com.br/api/public/store/product/manteiga-com-sal-zero-lactose-piracanjuba-200g-32822,"R$10,79","-R$1,66","-13,33%"
Milho p/ canjica branco,500g,PQ,-,,"R$3,29",-,-%
Milho verde em conserva lata,170g,Quero,"R$3,45",https://tenda-api.stoomlab.com.br/api/public/store/product/milho-verde-quero-170g-30981,"R$2,19","-R$1,26","-36,52%"
Molho de Tomate Tradicional,340g,Heinz,"R$3,35",https://tenda-api.stoomlab.com.br/api/public/store/product/molho-trad-heinz-sache-340g-9067,"R$2,59","-R$0,76","-22,69%"
,340g,Pomarola,"R$2,55",,"R$1,59","-R$0,96","-37,65%"
Odorizador de ambiente Click Spray,3x12ml,Air Wick,"R$18,59",https://tenda-api.stoomlab.com.br/api/public/store/product/purificador-de-ar-click-spray-cheirinho-de-limpeza-bom-ar-refil-12ml-leve-3-pague-2-27508,"R$14,39","-R$4,20","-22,59%"
Óleo de Girassol,900ml,Liza,"R$14,98",https://tenda-api.stoomlab.com.br/api/public/store/product/oleo-de-girassol-liza-pet-900ml-878,"R$15,09","R$0,11","0,73%"
,900ml,Soya,-,https://tenda-api.stoomlab.com.br/api/public/store/product/oleo-de-girassol-soya-900ml-20073,"R$11,09",,
Papel Higiênico Folha Dupla 30m,12 unidades,Neve,"R$19,75",https://tenda-api.stoomlab.com.br/api/public/store/product/papel-higienico-folha-dupla-toque-da-seda-30m-neve-leve-12-pague-11,"R$17,89","-R$1,86","-9,42%"
Papel Higiênico Premium 20 m,24 unidades,Neve,-,https://tenda-api.stoomlab.com.br/api/public/store/product/papel-higienico-folha-tripla-neve-20m-leve-24-pague-21-rolos-29414,"R$35,79",-,-%
